question,values
how often have you been upset because of something that happened unexpectedly?,forward
how often have you felt that you were unable to control the important things in your life?,forward
how often have you felt nervous and stressed?,forward
how often have you felt confident about your ability to handle your personal problems? ,backward
how often have you felt that things were going your way?,backward
how often have you found that you could not cope with all the things that you had to do?,forward
how often have you been able to control irritations in your life?,backward
how often have you felt that you were on top of things?,backward
how often have you been angered because of things that happened that were outside of your control?,forward
In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?,forward
